lea_id,state,district_name,esb_committed,committed,total_buses,contractor,locale,region,pct_frl,pct_poverty,income_med,pct_nonwhite_hisp,pm25,ozone,asthma18p,pod,applied_not_awarded,arp_qualified,epa2022_prioritized,epa2023_prioritized,pct_esb_fleet
3626520,NEW YORK,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,33,4.3,119847,58.8,7.7,68.8,9,0,NA,0,0,0,0
3626580,NEW YORK,SHARON SPRINGS CENTRAL SCHOOL DISTRICT,0,0,8,NA,Rural,Northeast,48,13.4,59536,6.4,6.2,52.4,10.8,0,NA,0,1,1,0
3626640,NEW YORK,SHELTER ISLAND UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Rural,Northeast,34,12.4,100094,10.7,6.2,75.7,8.3,0,NA,0,0,0,0
3626670,NEW YORK,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,0,0,212,NA,Suburban,Northeast,19,3.3,106532,13.8,7.2,53.5,9.3,0,NA,0,0,0,0
3626700,NEW YORK,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,0,0,29,NA,Rural,Northeast,40,11.9,52899,5.2,6.3,53,10.3,0,NA,0,1,0,0
3626730,NEW YORK,SHERMAN CENTRAL SCHOOL DISTRICT,0,0,10,NA,Rural,Northeast,51,17.2,47446,6.9,7.1,59.2,10.6,0,NA,0,1,1,0
3626760,NEW YORK,SHERRILL CITY SCHOOL DISTRICT,0,0,34,NA,Town,Northeast,37,6.5,72820,5.6,6.4,54,10.2,0,NA,0,0,0,0
3626840,NEW YORK,SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,0,0,2,NA,Suburban,Northeast,0,4.9,137401,12.2,6.8,69.1,8.9,0,NA,0,0,0,0
3626850,NEW YORK,SIDNEY CENTRAL SCHOOL DISTRICT,0,0,19,NA,Town,Northeast,49,20.4,48963,4.3,6.3,52.8,10.3,0,NA,0,0,1,0
3626880,NEW YORK,SILVER CREEK CENTRAL SCHOOL DISTRICT,0,0,27,NA,Rural,Northeast,53,11.4,60446,7.1,6.9,60.5,10.3,0,NA,0,1,1,0
3626940,NEW YORK,SKANEATELES CENTRAL SCHOOL DISTRICT,0,0,19,NA,Town,Northeast,13,4.1,93397,7.2,6.6,54.5,9.6,0,NA,0,0,0,0
3627000,NEW YORK,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Urban,Northeast,48,11.9,58767,11.6,7.8,60.5,10.4,0,NA,0,0,0,0
3627060,NEW YORK,SMITHTOWN CENTRAL SCHOOL DISTRICT,0,0,NA,1,Suburban,Northeast,12,2.9,138623,15.4,7.3,69.9,8.7,0,NA,0,0,0,0
3627120,NEW YORK,SODUS CENTRAL SCHOOL DISTRICT,0,0,23,NA,Town,Northeast,67,17.4,60488,13.1,6.6,57.7,10.3,0,NA,0,0,0,0
3627150,NEW YORK,SOLVAY UNION FREE SCHOOL DISTRICT,0,0,44,NA,Suburban,Northeast,67,12.7,54830,13.7,6.8,55.1,10.6,0,NA,0,1,0,0
3627180,NEW YORK,SOMERS CENTRAL SCHOOL DISTRICT,0,0,NA,1,Suburban,Northeast,10,3.2,138279,18.8,7.8,64.9,8.9,0,NA,0,0,0,0
3627210,NEW YORK,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,0,0,64,NA,Suburban,Northeast,36,6.6,86490,20,7.2,54,9.5,0,NA,0,0,0,0
0629940,CALIFORNIA,Pasadena Unified,5,1,NA,NA,Urban,West,70,10.9,95615,64,9.8,79.4,7.5,0,NA,0,0,0,NA
3627300,NEW YORK,SOUTH HUNTINGTON UNION FREE SCHOOL DISTRICT,0,0,57,1,Suburban,Northeast,52,7,125804,32.5,7.5,71.4,8.7,0,NA,0,0,0,0
3627330,NEW YORK,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,0,0,12,NA,Rural,Northeast,36,9.8,62700,9.9,6,53.4,10.3,0,NA,0,1,1,0
3627360,NEW YORK,SOUTH LEWIS CENTRAL SCHOOL DISTRICT,0,0,23,NA,Rural,Northeast,58,12.1,62171,6,5.7,52.4,10.4,0,NA,0,1,0,0
3627450,NEW YORK,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,15,3.9,134279,24,8.4,65.4,8.7,0,NA,0,0,0,0
3627540,NEW YORK,SOUTHAMPTON UNION FREE SCHOOL DISTRICT,0,0,43,NA,Suburban,Northeast,47,3.9,136397,28.8,6.1,71.4,8.6,0,NA,0,0,0,0
3627570,NEW YORK,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,0,0,14,NA,Rural,Northeast,48,8.6,73614,9.1,6.6,53.9,10.2,0,NA,0,1,0,0
3627620,NEW YORK,SOUTHOLD UNION FREE SCHOOL DISTRICT,0,0,7,NA,Town,Northeast,38,5.9,96521,11.3,6.4,75.6,0,0,NA,0,0,0,0
3627660,NEW YORK,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,0,0,22,NA,Town,Northeast,38,7.1,63443,8.4,7,56.2,10.1,0,NA,0,0,0,0
3627750,NEW YORK,SPENCER-VAN ETTEN CENTRAL SCHOOL DISTRICT,0,0,16,NA,Rural,Northeast,57,10.2,60000,5,6.7,53.2,10.5,0,NA,0,1,0,0
5306570,WASHINGTON,Pasco School District,1,1,169,NA,Suburban,West,75,15.6,72795,60.8,10,57.6,9.8,0,NA,0,0,0,1
3627810,NEW YORK,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),0,0,NA,NA,Suburban,Northeast,76,28.1,71036,36,8,63.8,10.3,1,NA,0,1,1,0
3627900,NEW YORK,SPRINGS UNION FREE SCHOOL DISTRICT,0,0,16,NA,Town,Northeast,0,16.7,118947,41.4,5.9,71.1,0,0,NA,0,0,0,0
3627960,NEW YORK,BRASHER FALLS CENTRAL SCHOOL DISTRICT,0,0,19,NA,Rural,Northeast,61,14.9,50898,6.6,6.4,51.2,11,0,NA,0,1,0,0
3627980,NEW YORK,GREENBURGH-NORTH CASTLE UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
3627990,NEW YORK,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,0,0,7,NA,Rural,Northeast,61,18,60147,5.9,5.4,51.8,0,0,NA,0,1,1,0
3628020,NEW YORK,STAMFORD CENTRAL SCHOOL DISTRICT,0,0,9,NA,Rural,Northeast,58,15.8,45893,8.5,5.9,53.5,10.5,0,NA,0,1,1,0
3628050,NEW YORK,STARPOINT CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Rural,Northeast,16,7.3,90856,8.7,7.6,60.1,10.6,0,NA,0,0,0,0
3628110,NEW YORK,STILLWATER CENTRAL SCHOOL DISTRICT,0,0,24,NA,Suburban,Northeast,31,6.7,84408,5.5,7,53.5,9.7,0,NA,0,0,0,0
3628140,NEW YORK,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,0,0,15,NA,Rural,Northeast,50,6.8,61474,7.6,6.4,54,9.9,0,NA,0,1,0,0
3628200,NEW YORK,THREE VILLAGE CENTRAL SCHOOL DISTRICT,0,0,1,1,Suburban,Northeast,14,4,141071,30,7.2,70.2,8.6,0,NA,0,0,0,0
3628320,NEW YORK,SUFFERN CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,24,8,98492,26.9,7.8,62.9,9.1,0,NA,0,0,0,0
